vin,sequence_index,vehicle_model,powertrain_type,assembly_hall,station_code,spindle_torque_nm,nominal_torque_nm,thermal_paste_vol_ml,weld_temperature_c,structural_adhesion_kpa,hv_insulation_mohm,actual_cycle_time_sec,target_takt_time_sec,jis_woodruff_battery_batch,quarantine_status,scrap_risk_score,timestamp
4USBM935357,2,BMW X5,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S12_BATTERY_MARRIAGE,66.91,65.0,0.0,189.1,833.8,999.0,32.3,32.0,N/A_ICE,PASSED,0.12,2026-09-03T13:05:25.244203+00:00
4USBM935357,2,BMW X5,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S18_POWERTRAIN_DROP,44.83,45.0,0.0,192.0,811.3,999.0,66.2,68.0,N/A_ICE,PASSED,0.03,2026-09-03T13:05:49.244203+00:00
4USBM935357,2,BMW X5,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S24_EXHAUST_AND_HV,44.33,45.0,0.0,183.8,800.0,999.0,66.1,62.0,N/A_ICE,PASSED,0.11,2026-09-03T13:05:47.244203+00:00
4USBM935357,2,BMW X5,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S32_DOORS_AND_INTERIOR,45.52,45.0,0.0,185.8,778.8,999.0,56.0,56.0,N/A_ICE,PASSED,0.11,2026-09-03T13:05:34.244203+00:00
4USBM935357,2,BMW X5,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S40_GLAZING_AND_SEALING,45.41,45.0,0.0,182.1,822.4,999.0,55.0,52.0,N/A_ICE,PASSED,0.11,2026-09-03T13:05:59.244203+00:00
4USBM935357,2,BMW X5,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S50_FINAL_LINE_ROLLOFF,45.62,45.0,0.0,182.0,807.2,999.0,62.0,58.0,N/A_ICE,PASSED,0.12,2026-09-03T13:05:53.244203+00:00
4USBM126812,3,BMW XM (High-Performance PHEV),PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S01_CHASSIS_INTAKE,45.49,45.0,350.2,183.5,740.4,556.4,51.5,50.0,WF-800V-9277,PASSED,0.1,2026-09-03T13:06:48.244203+00:00
4USBM126812,3,BMW XM (High-Performance PHEV),PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S05_UNDERBODY_PREP,43.17,45.0,342.0,190.5,850.2,547.3,60.6,58.0,WF-800V-9277,PASSED,0.13,2026-09-03T13:06:56.244203+00:00
4USBM126812,3,BMW XM (High-Performance PHEV),PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S12_BATTERY_MARRIAGE,66.37,65.0,324.8,184.2,810.0,540.9,63.1,64.0,WF-800V-9277,PASSED,0.15,2026-09-03T13:06:23.244203+00:00
4USBM126812,3,BMW XM (High-Performance PHEV),PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S18_POWERTRAIN_DROP,44.56,45.0,342.9,180.2,820.7,561.7,73.6,72.0,WF-800V-9277,PASSED,0.13,2026-09-03T13:06:22.244203+00:00
4USBM126812,3,BMW XM (High-Performance PHEV),PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S24_EXHAUST_AND_HV,46.87,45.0,353.2,185.6,824.2,543.8,67.4,66.0,WF-800V-9277,PASSED,0.09,2026-09-03T13:06:46.244203+00:00
4USBM126812,3,BMW XM (High-Performance PHEV),PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S32_DOORS_AND_INTERIOR,44.05,45.0,332.6,180.6,819.3,541.0,55.8,58.0,WF-800V-9277,PASSED,0.14,2026-09-03T13:06:21.244203+00:00
4USBM126812,3,BMW XM (High-Performance PHEV),PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S40_GLAZING_AND_SEALING,45.89,45.0,331.9,190.7,806.8,555.1,51.7,52.0,WF-800V-9277,PASSED,0.06,2026-09-03T13:06:42.244203+00:00
4USBM126812,3,BMW XM (High-Performance PHEV),PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S50_FINAL_LINE_ROLLOFF,46.07,45.0,311.9,182.5,827.5,538.7,66.0,64.0,WF-800V-9277,PASSED,0.14,2026-09-03T13:06:37.244203+00:00
4USBM708887,4,BMW iX5 Hydrogen/BEV,BEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S01_CHASSIS_INTAKE,45.04,45.0,344.6,182.6,735.1,573.4,51.1,52.0,WF-800V-9075,PASSED,0.02,2026-09-03T13:07:16.244203+00:00
4USBM708887,4,BMW iX5 Hydrogen/BEV,BEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S05_UNDERBODY_PREP,43.96,45.0,325.9,182.1,861.6,555.5,60.0,62.0,WF-800V-9075,PASSED,0.07,2026-09-03T13:07:13.244203+00:00
4USBM708887,4,BMW iX5 Hydrogen/BEV,BEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S12_BATTERY_MARRIAGE,65.59,65.0,346.7,189.5,795.3,526.8,73.1,74.0,WF-800V-9075,PASSED,0.06,2026-09-03T13:07:45.244203+00:00
4USBM708887,4,BMW iX5 Hydrogen/BEV,BEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S18_POWERTRAIN_DROP,46.04,45.0,344.7,185.4,772.9,542.3,47.7,46.0,WF-800V-9075,PASSED,0.04,2026-09-03T13:07:32.244203+00:00
4USBM708887,4,BMW iX5 Hydrogen/BEV,BEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S24_EXHAUST_AND_HV,44.7,45.0,338.8,187.7,801.5,551.6,45.8,44.0,WF-800V-9075,PASSED,0.05,2026-09-03T13:07:43.244203+00:00
4USBM708887,4,BMW iX5 Hydrogen/BEV,BEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S32_DOORS_AND_INTERIOR,44.15,45.0,352.4,177.8,780.1,575.1,63.2,60.0,WF-800V-9075,PASSED,0.08,2026-09-03T13:07:48.244203+00:00
4USBM708887,4,BMW iX5 Hydrogen/BEV,BEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S40_GLAZING_AND_SEALING,45.16,45.0,324.2,180.2,847.1,545.1,55.0,54.0,WF-800V-9075,PASSED,0.04,2026-09-03T13:07:13.244203+00:00
4USBM708887,4,BMW iX5 Hydrogen/BEV,BEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S50_FINAL_LINE_ROLLOFF,46.27,45.0,329.9,181.7,787.9,573.0,67.0,66.0,WF-800V-9075,PASSED,0.02,2026-09-03T13:07:49.244203+00:00
4USBM989360,5,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S01_CHASSIS_INTAKE,46.47,45.0,332.6,184.1,809.1,553.3,49.9,50.0,WF-800V-9603,PASSED,0.12,2026-09-03T13:08:12.244203+00:00
4USBM989360,5,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S05_UNDERBODY_PREP,44.5,45.0,360.3,180.8,818.2,565.4,63.1,58.0,WF-800V-9603,PASSED,0.11,2026-09-03T13:08:29.244203+00:00
4USBM989360,5,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S12_BATTERY_MARRIAGE,64.77,65.0,327.9,185.3,849.7,535.3,61.4,64.0,WF-800V-9603,PASSED,0.06,2026-09-03T13:08:18.244203+00:00
4USBM989360,5,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S18_POWERTRAIN_DROP,44.91,45.0,355.9,193.1,774.9,555.8,68.3,72.0,WF-800V-9603,PASSED,0.1,2026-09-03T13:08:36.244203+00:00
4USBM989360,5,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S24_EXHAUST_AND_HV,45.62,45.0,341.6,187.9,809.5,544.9,66.2,66.0,WF-800V-9603,PASSED,0.09,2026-09-03T13:08:21.244203+00:00
4USBM989360,5,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S32_DOORS_AND_INTERIOR,46.75,45.0,347.8,184.8,843.5,562.0,57.3,58.0,WF-800V-9603,PASSED,0.12,2026-09-03T13:08:33.244203+00:00
4USBM989360,5,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S40_GLAZING_AND_SEALING,44.71,45.0,327.4,193.9,808.4,588.4,50.8,52.0,WF-800V-9603,PASSED,0.11,2026-09-03T13:08:39.244203+00:00
4USBM989360,5,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S50_FINAL_LINE_ROLLOFF,44.31,45.0,348.7,196.1,793.4,552.7,63.9,64.0,WF-800V-9603,PASSED,0.1,2026-09-03T13:08:45.244203+00:00
4USBM162939,6,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S01_CHASSIS_INTAKE,42.83,45.0,341.4,177.5,796.0,553.3,48.3,50.0,WF-800V-9213,PASSED,0.02,2026-09-03T13:09:15.244203+00:00
4USBM162939,6,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S05_UNDERBODY_PREP,43.98,45.0,357.5,187.7,802.2,540.8,53.0,58.0,WF-800V-9213,PASSED,0.07,2026-09-03T13:09:41.244203+00:00
4USBM162939,6,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S12_BATTERY_MARRIAGE,65.99,65.0,329.6,185.3,830.7,562.9,64.2,64.0,WF-800V-9213,PASSED,0.11,2026-09-03T13:09:05.244203+00:00
4USBM162939,6,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S18_POWERTRAIN_DROP,45.41,45.0,356.7,185.4,888.3,564.1,73.7,72.0,WF-800V-9213,PASSED,0.09,2026-09-03T13:09:25.244203+00:00
4USBM162939,6,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S24_EXHAUST_AND_HV,44.37,45.0,321.2,189.0,789.7,535.7,63.9,66.0,WF-800V-9213,PASSED,0.12,2026-09-03T13:09:20.244203+00:00
4USBM162939,6,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S32_DOORS_AND_INTERIOR,43.65,45.0,337.6,187.7,802.1,539.7,62.3,58.0,WF-800V-9213,PASSED,0.09,2026-09-03T13:09:36.244203+00:00
4USBM162939,6,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S40_GLAZING_AND_SEALING,43.88,45.0,337.8,190.7,812.8,551.3,47.7,52.0,WF-800V-9213,PASSED,0.06,2026-09-03T13:09:39.244203+00:00
4USBM162939,6,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S50_FINAL_LINE_ROLLOFF,44.45,45.0,335.9,188.7,798.2,558.7,66.2,64.0,WF-800V-9213,PASSED,0.06,2026-09-03T13:09:24.244203+00:00
4USBM269595,7,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S01_CHASSIS_INTAKE,46.21,45.0,345.3,183.8,863.6,532.3,50.3,50.0,WF-800V-9459,PASSED,0.1,2026-09-03T13:10:05.244203+00:00
4USBM269595,7,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S05_UNDERBODY_PREP,45.73,45.0,341.1,187.0,816.6,540.1,60.4,58.0,WF-800V-9459,PASSED,0.09,2026-09-03T13:10:15.244203+00:00
4USBM269595,7,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S12_BATTERY_MARRIAGE,66.87,65.0,322.5,189.1,802.0,545.1,61.3,64.0,WF-800V-9459,PASSED,0.05,2026-09-03T13:10:23.244203+00:00
4USBM269595,7,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S18_POWERTRAIN_DROP,45.13,45.0,340.8,182.9,808.1,544.9,71.6,72.0,WF-800V-9459,PASSED,0.12,2026-09-03T13:10:23.244203+00:00
4USBM269595,7,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S24_EXHAUST_AND_HV,45.66,45.0,350.1,179.3,827.2,545.9,65.3,66.0,WF-800V-9459,PASSED,0.1,2026-09-03T13:10:02.244203+00:00
4USBM269595,7,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S32_DOORS_AND_INTERIOR,44.34,45.0,336.7,188.2,803.9,550.5,59.3,58.0,WF-800V-9459,PASSED,0.02,2026-09-03T13:10:16.244203+00:00
4USBM269595,7,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S40_GLAZING_AND_SEALING,44.51,45.0,345.9,183.6,812.8,562.4,47.5,52.0,WF-800V-9459,PASSED,0.09,2026-09-03T13:10:29.244203+00:00
4USBM269595,7,BMW X5,PHEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S50_FINAL_LINE_ROLLOFF,45.06,45.0,328.0,189.3,829.9,561.7,63.1,64.0,WF-800V-9459,PASSED,0.05,2026-09-03T13:10:28.244203+00:00
4USBM953221,8,BMW X7,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S01_CHASSIS_INTAKE,45.38,45.0,0.0,182.2,824.0,999.0,46.4,48.0,N/A_ICE,PASSED,0.13,2026-09-03T13:10:56.244203+00:00
4USBM953221,8,BMW X7,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S05_UNDERBODY_PREP,44.54,45.0,0.0,177.5,804.0,999.0,53.9,54.0,N/A_ICE,PASSED,0.07,2026-09-03T13:11:31.244203+00:00
4USBM953221,8,BMW X7,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S12_BATTERY_MARRIAGE,65.03,65.0,0.0,186.4,820.3,999.0,32.3,32.0,N/A_ICE,PASSED,0.15,2026-09-03T13:11:16.244203+00:00
4USBM953221,8,BMW X7,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S18_POWERTRAIN_DROP,44.53,45.0,0.0,186.3,785.8,999.0,63.6,68.0,N/A_ICE,PASSED,0.03,2026-09-03T13:11:01.244203+00:00
4USBM953221,8,BMW X7,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S24_EXHAUST_AND_HV,45.7,45.0,0.0,183.8,816.3,999.0,60.2,62.0,N/A_ICE,PASSED,0.11,2026-09-03T13:11:10.244203+00:00
4USBM953221,8,BMW X7,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S32_DOORS_AND_INTERIOR,42.59,45.0,0.0,180.9,841.7,999.0,59.4,56.0,N/A_ICE,PASSED,0.1,2026-09-03T13:10:54.244203+00:00
4USBM953221,8,BMW X7,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S40_GLAZING_AND_SEALING,45.76,45.0,0.0,190.3,872.7,999.0,47.7,52.0,N/A_ICE,PASSED,0.06,2026-09-03T13:10:58.244203+00:00
4USBM953221,8,BMW X7,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S50_FINAL_LINE_ROLLOFF,43.86,45.0,0.0,189.8,827.1,999.0,54.3,58.0,N/A_ICE,PASSED,0.04,2026-09-03T13:11:19.244203+00:00
4USBM504956,9,BMW iX5 Hydrogen/BEV,BEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S01_CHASSIS_INTAKE,43.13,45.0,340.0,177.3,805.2,541.1,52.5,52.0,WF-800V-9412,PASSED,0.09,2026-09-03T13:12:11.244203+00:00
4USBM504956,9,BMW iX5 Hydrogen/BEV,BEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S05_UNDERBODY_PREP,48.17,45.0,343.0,183.7,831.2,538.5,61.7,62.0,WF-800V-9412,PASSED,0.04,2026-09-03T13:11:55.244203+00:00
4USBM504956,9,BMW iX5 Hydrogen/BEV,BEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S12_BATTERY_MARRIAGE,64.48,65.0,319.7,177.5,835.1,554.3,73.2,74.0,WF-800V-9412,PASSED,0.09,2026-09-03T13:12:20.244203+00:00
4USBM504956,9,BMW iX5 Hydrogen/BEV,BEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S18_POWERTRAIN_DROP,46.5,45.0,348.6,182.9,790.8,551.4,50.7,46.0,WF-800V-9412,PASSED,0.11,2026-09-03T13:12:17.244203+00:00
4USBM504956,9,BMW iX5 Hydrogen/BEV,BEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S24_EXHAUST_AND_HV,45.23,45.0,333.9,184.6,866.6,539.7,43.6,44.0,WF-800V-9412,PASSED,0.06,2026-09-03T13:11:51.244203+00:00
4USBM504956,9,BMW iX5 Hydrogen/BEV,BEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S32_DOORS_AND_INTERIOR,47.06,45.0,330.0,186.5,806.7,560.4,59.3,60.0,WF-800V-9412,PASSED,0.1,2026-09-03T13:11:55.244203+00:00
4USBM504956,9,BMW iX5 Hydrogen/BEV,BEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S40_GLAZING_AND_SEALING,44.02,45.0,335.6,187.2,854.5,544.7,51.0,54.0,WF-800V-9412,PASSED,0.05,2026-09-03T13:11:49.244203+00:00
4USBM504956,9,BMW iX5 Hydrogen/BEV,BEV,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S50_FINAL_LINE_ROLLOFF,46.23,45.0,337.6,185.1,835.7,557.2,61.9,66.0,WF-800V-9412,PASSED,0.07,2026-09-03T13:11:50.244203+00:00
4USBM517148,10,BMW X5,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S01_CHASSIS_INTAKE,43.58,45.0,0.0,185.2,832.1,999.0,47.0,48.0,N/A_ICE,PASSED,0.09,2026-09-03T13:12:50.244203+00:00
4USBM517148,10,BMW X5,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S05_UNDERBODY_PREP,44.18,45.0,0.0,190.9,782.8,999.0,51.9,54.0,N/A_ICE,PASSED,0.14,2026-09-03T13:13:07.244203+00:00
4USBM517148,10,BMW X5,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S12_BATTERY_MARRIAGE,63.93,65.0,0.0,185.9,843.8,999.0,30.4,32.0,N/A_ICE,PASSED,0.13,2026-09-03T13:12:47.244203+00:00
4USBM517148,10,BMW X5,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S18_POWERTRAIN_DROP,43.49,45.0,0.0,177.0,824.5,999.0,66.3,68.0,N/A_ICE,PASSED,0.13,2026-09-03T13:13:09.244203+00:00
4USBM517148,10,BMW X5,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S24_EXHAUST_AND_HV,44.32,45.0,0.0,188.2,780.7,999.0,60.9,62.0,N/A_ICE,PASSED,0.05,2026-09-03T13:13:03.244203+00:00
4USBM517148,10,BMW X5,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S32_DOORS_AND_INTERIOR,45.01,45.0,0.0,186.5,840.9,999.0,58.7,56.0,N/A_ICE,PASSED,0.09,2026-09-03T13:13:03.244203+00:00
4USBM517148,10,BMW X5,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S40_GLAZING_AND_SEALING,44.01,45.0,0.0,187.5,813.1,999.0,49.6,52.0,N/A_ICE,PASSED,0.12,2026-09-03T13:13:21.244203+00:00
4USBM517148,10,BMW X5,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S50_FINAL_LINE_ROLLOFF,42.96,45.0,0.0,185.8,769.2,999.0,57.1,58.0,N/A_ICE,PASSED,0.07,2026-09-03T13:13:14.244203+00:00
4USBM987648,11,BMW X7,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S01_CHASSIS_INTAKE,45.36,45.0,0.0,177.1,797.2,999.0,52.2,48.0,N/A_ICE,PASSED,0.14,2026-09-03T13:13:39.244203+00:00
4USBM987648,11,BMW X7,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S05_UNDERBODY_PREP,43.79,45.0,0.0,199.7,799.7,999.0,54.7,54.0,N/A_ICE,PASSED,0.03,2026-09-03T13:13:44.244203+00:00
4USBM987648,11,BMW X7,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S12_BATTERY_MARRIAGE,63.63,65.0,0.0,180.4,843.4,999.0,30.1,32.0,N/A_ICE,PASSED,0.13,2026-09-03T13:14:00.244203+00:00
4USBM987648,11,BMW X7,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S18_POWERTRAIN_DROP,44.61,45.0,0.0,194.5,851.7,999.0,68.8,68.0,N/A_ICE,PASSED,0.02,2026-09-03T13:14:14.244203+00:00
4USBM987648,11,BMW X7,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S24_EXHAUST_AND_HV,43.34,45.0,0.0,175.5,849.8,999.0,57.1,62.0,N/A_ICE,PASSED,0.05,2026-09-03T13:13:56.244203+00:00
4USBM987648,11,BMW X7,ICE,"Assembly Hall 52 (Mid/Full-Size SAC/SAV: X5, X6, X7, XM, iX5)",L1_S32_DOORS_AND_INTERIOR,45.46,45.0,0.0,185.3,815.8,999.0,54.8,56.0,N/A_ICE,PASSED,0.06,2026-09-03T13:14:03.244203+00:00
